packet_id,timestamp,altitude_m,lat,lon,temp_c,battery_v,status_code
33,1790310632,0.5,12.97224,77.59556,27.9,4.2,0
34,1790310633,0.36,12.97226,77.59559,27.59,4.197,0
35,1790310634,0.18,12.97228,77.59562,27.9,4.192,0
36,1790310635,0.14,12.9723,77.59565,27.64,4.193,0
37,1790310636,-0.05,12.97232,77.59568,28.14,4.198,0
38,1790310637,-0.24,12.97234,77.59571,27.87,4.191,0
39,1790310638,0.41,12.97236,77.59574,28.08,4.192,0
40,1790310639,0.14,12.97238,77.59577,27.93,4.191,0
41,1790310640,0.26,12.9724,77.5958,27.88,4.196,0
42,1790310641,0.03,12.97242,77.59583,27.55,4.191,0
43,1790310642,-0.48,12.97244,77.59586,28.11,4.197,0
44,1790310643,0.33,12.97246,77.59589,27.72,4.189,0
45,1790310644,0.38,12.97248,77.59592,28.11,4.189,0
46,1790310645,-0.01,12.9725,77.59595,27.58,4.195,0
47,1790310646,0.27,12.97252,77.59598,27.61,4.192,0
48,1790310647,0.05,12.97254,77.59601,27.69,4.196,0
49,1790310648,-0.08,12.97256,77.59604,27.66,4.192,0
50,1790310649,0.23,12.97258,77.59607,27.64,4.19,0
51,1790310650,0.5,12.9726,77.5961,27.91,4.191,0
52,1790310651,0.02,12.97262,77.59613,27.59,4.189,0
53,1790310652,-0.16,12.97264,77.59616,27.86,4.188,0
54,1790310653,-0.28,12.97266,77.59619,27.55,4.192,0
55,1790310654,-0.27,12.97268,77.59622,28.04,4.195,0
56,1790310655,-0.43,12.9727,77.59625,27.64,4.193,0
57,1790310656,-0.29,12.97272,77.59628,27.58,4.195,0
58,1790310657,0.07,12.97274,77.59631,27.77,4.194,0
59,1790310658,0.31,12.97276,77.59634,27.6,4.186,0
60,1790310659,-0.07,12.97278,77.59637,27.74,4.19,0
61,1790310660,0.23,12.9728,77.5964,27.88,4.195,0
62,1790310661,-0.4,12.97282,77.59643,27.72,4.188,0
63,1790310662,0.36,12.97284,77.59646,27.63,4.187,0
64,1790310663,-0.05,12.97286,77.59649,27.72,4.187,0
65,1790310664,-0.25,12.97288,77.59652,28.02,4.188,0
66,1790310665,0.36,12.9729,77.59655,27.8,4.185,0
67,1790310666,0.5,12.97292,77.59658,27.96,4.194,0
68,1790310667,0.43,12.97294,77.59661,27.97,4.186,0
69,1790310668,-0.01,12.97296,77.59664,27.58,4.188,0
70,1790310669,-0.44,12.97298,77.59667,27.68,4.194,0
71,1790310670,-0.23,12.973,77.5967,27.92,4.188,0
72,1790310671,-0.08,12.97302,77.59673,28.01,4.193,0
73,1790310672,0.06,12.97304,77.59676,27.87,4.185,0
74,1790310673,-0.2,12.97306,77.59679,28.02,4.189,0
75,1790310674,0.04,12.97308,77.59682,27.88,4.184,0
76,1790310675,0.08,12.9731,77.59685,27.73,4.192,0
77,1790310676,-0.34,12.97312,77.59688,28.01,4.183,0
78,1790310677,-0.31,12.97314,77.59691,27.78,4.189,0
79,1790310678,-0.26,12.97316,77.59694,27.49,4.191,0
80,1790310679,-0.25,12.97318,77.59697,27.77,4.188,0
81,1790310680,-0.08,12.9732,77.597,27.76,4.187,0
82,1790310681,0.43,12.97322,77.59703,27.53,4.189,0
83,1790310682,-0.26,12.97324,77.59706,27.64,4.188,0
84,1790310683,-0.2,12.97326,77.59709,27.59,4.189,0
85,1790310684,-0.43,12.97328,77.59712,27.67,4.191,0
86,1790310685,0.5,12.9733,77.59715,27.43,4.183,0
87,1790310686,-0.23,12.97332,77.59718,27.95,4.19,0
88,1790310687,0.38,12.97334,77.59721,27.61,4.183,0
89,1790310688,0.33,12.97336,77.59724,27.8,4.186,0
90,1790310689,0.49,12.97338,77.59727,27.77,4.18,0
91,1790310690,0.32,12.9734,77.5973,27.56,4.187,0
92,1790310691,0.44,12.97342,77.59733,27.45,4.181,0
93,1790310692,-0.39,12.97344,77.59736,27.7,4.183,0
94,1790310693,0.1,12.97346,77.59739,27.79,4.181,0
95,1790310694,0.13,12.97348,77.59742,27.52,4.184,0
96,1790310695,0.41,12.9735,77.59745,27.87,4.18,0
97,1790310696,-0.08,12.97352,77.59748,27.52,4.179,0
98,1790310697,0.27,12.97354,77.59751,27.73,4.182,0
99,1790310698,0.24,12.97356,77.59754,27.68,4.183,0
100,1790310699,-0.49,12.97358,77.59757,27.39,4.188,0
101,1790310700,0.4,12.9736,77.5976,27.67,4.186,0
102,1790310701,0.08,12.97362,77.59763,27.43,4.179,0
103,1790310702,-0.19,12.97364,77.59766,27.87,4.186,0
104,1790310703,0.36,12.97366,77.59769,27.87,4.18,0
105,1790310704,-0.25,12.97368,77.59772,27.38,4.186,0
106,1790310705,0.38,12.9737,77.59775,27.56,4.184,0
107,1790310706,-0.35,12.97372,77.59778,27.88,4.186,0
108,1790310707,0.48,12.97374,77.59781,27.8,4.186,0
109,1790310708,-0.48,12.97376,77.59784,27.75,4.18,0
110,1790310709,0.43,12.97378,77.59787,27.79,4.186,0
111,1790310710,0.31,12.9738,77.5979,27.46,4.185,0
112,1790310711,-0.39,12.97382,77.59793,27.82,4.185,0
113,1790310712,-0.28,12.97384,77.59796,27.79,4.181,0
114,1790310713,-0.19,12.97386,77.59799,27.77,4.178,0
115,1790310714,-0.48,12.97388,77.59802,27.41,4.179,0
116,1790310715,0.36,12.9739,77.59805,27.86,4.179,0
117,1790310716,0.14,12.97392,77.59808,27.52,4.186,0
118,1790310717,0.04,12.97394,77.59811,27.84,4.177,0
119,1790310718,0.47,12.97396,77.59814,27.38,4.185,0
120,1790310719,-0.23,12.97398,77.59817,27.34,4.179,0
121,1790310720,0.23,12.974,77.5982,27.46,4.181,0
122,1790310721,0.01,12.97402,77.59823,27.49,4.181,0
123,1790310722,-0.25,12.97404,77.59826,27.69,4.175,0
124,1790310723,0.43,12.97406,77.59829,27.58,4.181,0
125,1790310724,0.24,12.97408,77.59832,27.65,4.178,0
126,1790310725,-0.43,12.9741,77.59835,27.65,4.177,0
127,1790310726,-0.19,12.97412,77.59838,27.76,4.181,0
128,1790310727,-0.2,12.97414,77.59841,27.43,4.178,0
129,1790310728,-0.1,12.97416,77.59844,27.42,4.175,0
130,1790310729,-0.08,12.97418,77.59847,27.79,4.181,0
131,1790310730,0.4,12.9742,77.5985,27.6,4.176,0
132,1790310731,0.05,12.97422,77.59853,27.23,4.176,0
133,1790310732,-0.07,12.97424,77.59856,27.57,4.18,0
134,1790310733,-0.04,12.97426,77.59859,27.49,4.175,0
135,1790310734,-0.03,12.97428,77.59862,27.76,4.181,0
136,1790310735,-0.33,12.9743,77.59865,27.26,4.178,0
137,1790310736,0.13,12.97432,77.59868,27.41,4.18,0
138,1790310737,0.25,12.97434,77.59871,27.61,4.174,0
139,1790310738,-0.3,12.97436,77.59874,27.21,4.174,0
140,1790310739,-0.02,12.97438,77.59877,27.71,4.173,0
141,1790310740,-0.09,12.9744,77.5988,27.57,4.174,0
142,1790310741,0.2,12.97442,77.59883,27.49,4.173,0
143,1790310742,0.16,12.97444,77.59886,27.19,4.179,0
144,1790310743,0.27,12.97446,77.59889,27.24,4.175,0
145,1790310744,-0.32,12.97448,77.59892,27.75,4.176,0
146,1790310745,-0.45,12.9745,77.59895,27.33,4.179,0
147,1790310746,-0.04,12.97452,77.59898,27.65,4.178,0
148,1790310747,0.49,12.97454,77.59901,27.53,4.181,0
149,1790310748,0.39,12.97456,77.59904,27.54,4.177,0
150,1790310749,0.0,12.97458,77.59907,27.66,4.175,0
151,1790310750,0.4,12.9746,77.5991,27.61,4.175,0
152,1790310751,-0.24,12.97462,77.59913,27.3,4.176,0
153,1790310752,0.27,12.97464,77.59916,27.46,4.176,0
154,1790310753,-0.23,12.97466,77.59919,27.2,4.173,0
155,1790310754,-0.23,12.97468,77.59922,27.33,4.174,0
156,1790310755,-0.36,12.9747,77.59925,27.28,4.176,0
157,1790310756,0.21,12.97472,77.59928,27.18,4.173,0
158,1790310757,0.04,12.97474,77.59931,27.38,4.171,0
159,1790310758,-0.08,12.97476,77.59934,27.67,4.175,0
160,1790310758,-0.08,12.97476,77.59934,27.77,4.174,0
161,1790310759,0.2,12.97478,77.59937,27.64,4.176,0
162,1790310760,-0.12,12.9748,77.5994,27.12,4.172,0
163,1790310761,0.25,12.97482,77.59943,27.63,4.178,0
164,1790310762,-0.08,12.97484,77.59946,27.56,4.173,0
165,1790310763,0.1,12.97486,77.59949,27.24,4.17,0
166,1790310764,-0.06,12.97488,77.59952,27.13,4.171,0
167,1790310765,0.18,12.9749,77.59955,27.34,4.17,0
168,1790310766,-0.03,12.97492,77.59958,27.18,4.173,0
169,1790310767,-0.47,12.97494,77.59961,27.34,4.173,0
170,1790310768,-0.47,12.97496,77.59964,27.48,4.168,0
171,1790310768,-0.47,12.97496,77.59964,27.58,4.167,0
172,1790310769,-0.04,12.97498,77.59967,27.12,4.171,0
173,1790310770,-0.29,12.975,77.5997,27.29,4.175,0
174,1790310771,-0.12,12.97502,77.59973,27.53,4.174,0
175,1790310772,-0.25,12.97504,77.59976,27.13,4.166,0
176,1790310773,0.04,12.97506,77.59979,27.68,4.169,0
177,1790310774,0.15,12.97508,77.59982,27.54,4.173,0
178,1790310775,0.25,12.9751,77.59985,27.64,4.168,0
179,1790310776,-0.48,12.97512,77.59988,27.15,4.167,0
180,1790310777,0.17,12.97514,77.59991,27.4,4.168,0
181,1790310778,0.2,12.97516,77.59994,27.52,4.167,0
182,1790310779,0.11,12.97518,77.59997,27.5,4.166,0
183,1790310780,0.32,12.9752,77.6,27.63,4.166,0
184,1790310781,-0.47,12.97522,77.60003,27.24,4.172,0
185,1790310782,0.46,12.97524,77.60006,27.28,4.172,0
186,1790310783,-0.42,12.97526,77.60009,27.45,4.171,0
187,1790310784,-0.4,12.97528,77.60012,27.5,4.173,0
188,1790310785,0.1,12.9753,77.60015,27.1,4.174,0
189,1790310786,0.28,12.97532,77.60018,27.24,4.168,0
190,1790310787,-0.13,12.97534,77.60021,27.32,4.167,0
191,1790310788,0.35,12.97536,77.60024,27.51,4.165,0
192,1790310789,0.46,12.97538,77.60027,27.4,4.171,0
193,1790310790,0.21,12.9754,77.6003,27.27,4.17,0
194,1790310791,0.47,12.97542,77.60033,27.17,4.171,0
195,1790310792,0.04,12.97544,77.60036,27.3,4.167,0
196,1790310793,0.23,12.97546,77.60039,27.16,4.172,0
197,1790310794,0.33,12.97548,77.60042,27.05,4.172,0
198,1790310795,-0.26,12.9755,77.60045,27.28,4.169,0
199,1790310796,-0.12,12.97552,77.60048,27.01,4.171,0
200,1790310797,-0.32,12.97554,77.60051,27.12,4.17,0
201,1790310798,-0.16,12.97556,77.60054,27.52,4.169,0
202,1790310799,-0.22,12.97558,77.60057,26.99,4.171,0
203,1790310800,-0.41,12.9756,77.6006,27.41,4.167,0
204,1790310801,0.26,12.97562,77.60063,27.38,4.168,0
205,1790310802,-0.01,12.97564,77.60066,27.45,4.162,0
206,1790310803,-0.28,12.97566,77.60069,27.39,4.164,0
207,1790310804,0.08,12.97568,77.60072,27.24,4.166,0
208,1790310805,-0.07,12.9757,77.60075,27.41,4.164,0
209,1790310806,0.2,12.97572,77.60078,27.12,4.164,0
210,1790310807,-0.38,12.97574,77.60081,27.07,4.161,0
211,1790310808,0.04,12.97576,77.60084,27.41,4.162,0
212,1790310809,-0.28,12.97578,77.60087,27.24,4.167,0
213,1790310810,0.48,12.9758,77.6009,27.25,4.163,0
214,1790310811,-0.4,12.97582,77.60093,27.06,4.162,0
215,1790310812,-0.32,12.97584,77.60096,26.94,4.165,0
216,1790310813,-0.23,12.97586,77.60099,27.51,4.166,0
217,1790310814,0.2,12.97588,77.60102,27.01,4.168,0
218,1790310815,-0.01,12.9759,77.60105,27.44,4.165,0
219,1790310816,-0.03,12.97592,77.60108,27.18,4.161,0
220,1790310817,-0.45,12.97594,77.60111,27.48,4.164,0
221,1790310818,0.32,12.97596,77.60114,27.15,4.16,0
222,1790310819,0.13,12.97598,77.60117,26.94,4.159,0
223,1790310820,0.06,12.976,77.6012,27.09,4.168,0
224,1790310821,-0.38,12.97602,77.60123,27.36,4.164,0
225,1790310822,0.29,12.97604,77.60126,27.04,4.163,0
226,1790310823,-0.05,12.97606,77.60129,27.16,4.167,0
227,1790310824,0.49,12.97608,77.60132,27.07,4.164,0
228,1790310825,0.11,12.9761,77.60135,27.33,4.167,0
229,1790310826,-0.29,12.97612,77.60138,27.01,4.164,0
230,1790310827,-0.34,12.97614,77.60141,26.98,4.158,0
231,1790310828,-0.5,12.97616,77.60144,27.15,4.163,0
232,1790310829,-0.21,12.97618,77.60147,27.01,4.164,0
233,1790310830,0.2,12.9762,77.6015,27.14,4.164,0
234,1790310831,0.42,12.97622,77.60153,27.34,4.163,0
235,1790310832,0.16,12.97624,77.60156,27.42,4.16,0
236,1790310833,0.04,12.97626,77.60159,27.25,4.165,0
237,1790310834,0.33,12.97628,77.60162,26.9,4.158,0
238,1790310835,-0.19,12.9763,77.60165,27.3,4.162,0
239,1790310836,-0.21,12.97632,77.60168,26.92,4.163,0
240,1790310837,0.2,12.97634,77.60171,27.41,4.16,0
241,1790310838,-0.01,12.97636,77.60174,26.89,4.155,0
242,1790310839,-0.07,12.97638,77.60177,27.03,4.158,0
243,1790310840,-0.41,12.9764,77.6018,27.41,4.163,0
244,1790310841,0.08,12.97642,77.60183,27.4,4.165,0
245,1790310842,0.17,12.97644,77.60186,26.99,4.155,0
246,1790310843,0.26,12.97646,77.60189,27.1,4.162,0
247,1790310844,0.42,12.97648,77.60192,26.93,4.16,0
248,1790310845,0.13,12.9765,77.60195,27.12,4.155,0
249,1790310846,-0.15,12.97652,77.60198,27.01,4.161,0
250,1790310847,0.36,12.97654,77.60201,27.01,4.161,0
251,1790310848,-0.21,12.97656,77.60204,27.37,4.162,0
252,1790310849,0.05,12.97658,77.60207,27.07,4.157,0
253,1790310850,-0.18,12.9766,77.6021,27.38,4.157,0
254,1790310851,0.01,12.97662,77.60213,27.38,4.16,0
255,1790310852,0.04,12.97664,77.60216,27.04,4.155,0
256,1790310853,-0.14,12.97666,77.60219,27.24,4.159,0
257,1790310854,0.26,12.97668,77.60222,26.9,4.158,0
258,1790310855,0.43,12.9767,77.60225,27.04,4.159,0
259,1790310856,-0.38,12.97672,77.60228,27.36,4.158,0
260,1790310857,-0.26,12.97674,77.60231,26.87,4.158,0
261,1790310858,0.05,12.97676,77.60234,26.83,4.162,0
262,1790310859,0.41,12.97678,77.60237,27.04,4.153,0
263,1790310860,0.33,12.9768,77.6024,27.06,4.159,0
264,1790310861,0.01,12.97682,77.60243,26.92,4.16,0
265,1790310862,0.48,12.97684,77.60246,26.9,4.157,0
266,1790310863,-0.12,12.97686,77.60249,27.3,4.156,0
267,1790310864,0.38,12.97688,77.60252,27.27,4.154,0
268,1790310865,0.29,12.9769,77.60255,26.99,4.16,0
269,1790310866,0.01,12.97692,77.60258,27.23,4.154,0
270,1790310867,-0.2,12.97694,77.60261,27.09,4.16,0
271,1790310868,-0.01,12.97696,77.60264,26.82,4.155,0
272,1790310869,-0.15,12.97698,77.60267,27.06,4.155,0
273,1790310870,-0.04,12.977,77.6027,26.91,4.152,0
274,1790310871,0.2,12.97702,77.60273,27.06,4.152,0
275,1790310872,0.28,12.97704,77.60276,26.75,4.157,0
276,1790310873,0.21,12.97706,77.60279,27.2,4.154,0
277,1790310874,0.16,12.97708,77.60282,27.2,4.159,0
278,1790310875,-0.0,12.9771,77.60285,26.73,4.154,0
279,1790310876,0.09,12.97712,77.60288,27.22,4.158,0
280,1790310877,-0.06,12.97714,77.60291,27.02,4.154,0
281,1790310878,0.22,12.97716,77.60294,26.95,4.156,0
282,1790310879,-0.35,12.97718,77.60297,26.97,4.159,0
283,1790310880,-0.16,12.9772,77.603,27.11,4.154,0
284,1790310881,0.35,12.97722,77.60303,27.2,4.157,0
285,1790310882,-0.12,12.97724,77.60306,26.87,4.155,0
286,1790310883,0.26,12.97726,77.60309,27.2,4.148,0
287,1790310884,-0.43,12.97728,77.60312,27.05,4.157,0
288,1790310885,0.5,12.9773,77.60315,27.12,4.151,0
289,1790310886,-0.4,12.97732,77.60318,27.05,4.156,0
290,1790310887,-0.06,12.97734,77.60321,27.08,4.156,0
291,1790310888,-0.45,12.97736,77.60324,27.14,4.15,0
292,1790310889,-0.13,12.97738,77.60327,26.75,4.152,0
293,1790310890,0.07,12.9774,77.6033,27.13,4.149,0
294,1790310891,-0.42,12.97742,77.60333,27.17,4.153,0
295,1790310892,-0.26,12.97744,77.60336,27.2,4.147,0
296,1790310893,-0.04,12.97746,77.60339,26.79,4.149,0
297,1790310894,-0.49,12.97748,77.60342,27.12,4.155,0
298,1790310895,0.18,12.9775,77.60345,26.72,4.15,0
299,1790310896,-0.15,12.97752,77.60348,26.98,4.152,0
300,1790310897,-0.08,12.97754,77.60351,26.78,4.154,0
301,1790310898,-0.3,12.97756,77.60354,26.85,4.15,0
302,1790310899,-0.26,12.97758,77.60357,26.96,4.151,0
303,1790310900,0.49,12.9776,77.6036,26.8,4.155,0
304,1790310901,0.18,12.97762,77.60363,26.77,4.151,0
305,1790310902,0.26,12.97764,77.60366,27.06,4.145,0
306,1790310903,0.23,12.97766,77.60369,26.91,4.153,0
307,1790310904,-0.02,12.97768,77.60372,27.08,4.15,0
308,1790310905,0.12,12.9777,77.60375,26.98,4.15,0
309,1790310906,0.53,12.97772,77.60378,27.02,4.151,0
310,1790310907,0.79,12.97774,77.60381,26.97,4.153,0
311,1790310908,0.69,12.97776,77.60384,26.78,4.148,0
312,1790310909,0.73,12.97778,77.60387,27.02,4.145,0
313,1790310910,0.56,12.9778,77.6039,27.03,4.145,0
314,1790310911,0.51,12.97782,77.60393,26.9,4.153,0
315,1790310912,1.03,12.97784,77.60396,27.12,4.151,0
316,1790310913,0.89,12.97786,77.60399,27.06,4.148,0
317,1790310914,1.57,12.97788,77.60402,27.02,4.146,0
318,1790310915,1.02,12.9779,77.60405,27.14,4.143,0
319,1790310916,2.01,12.97792,77.60408,27.08,4.149,0
320,1790310917,2.17,12.97794,77.60411,27.14,4.15,0
321,1790310918,1.71,12.97796,77.60414,27.02,4.142,0
322,1790310919,2.03,12.97798,77.60417,26.82,4.149,0
323,1790310920,2.32,12.978,77.6042,26.89,4.15,0
324,1790310921,2.76,12.97802,77.60423,26.61,4.144,0
325,1790310922,2.01,12.97804,77.60426,27.07,4.147,0
326,1790310923,3.07,12.97806,77.60429,26.66,4.142,0
327,1790310924,3.15,12.97808,77.60432,27.08,4.144,0
328,1790310925,2.92,12.9781,77.60435,26.61,4.15,0
329,1790310926,2.99,12.97812,77.60438,26.82,4.142,0
330,1790310927,3.77,12.97814,77.60441,26.6,4.146,0
331,1790310928,3.73,12.97816,77.60444,26.97,4.149,0
332,1790310929,3.68,12.97818,77.60447,26.96,4.142,0
333,1790310929,3.68,12.97818,77.60447,27.06,4.141,0
334,1790310930,3.86,12.9782,77.6045,26.57,4.145,0
335,1790310931,4.06,12.97822,77.60453,27.07,4.14,0
336,1790310932,4.22,12.97824,77.60456,26.77,4.15,0
337,1790310933,4.92,12.97826,77.60459,26.56,4.146,0
338,1790310934,4.81,12.97828,77.60462,27.08,4.143,0
339,1790310935,4.88,12.9783,77.60465,26.6,4.14,0
340,1790310936,5.55,12.97832,77.60468,26.76,4.146,0
341,1790310937,5.55,12.97834,77.60471,26.84,4.139,0
342,1790310938,5.93,12.97836,77.60474,26.63,4.14,0
343,1790310939,5.92,12.97838,77.60477,26.52,4.147,0
344,1790310940,5.8,12.9784,77.6048,26.6,4.147,0
345,1790310941,6.15,12.97842,77.60483,26.56,4.147,0
346,1790310942,6.05,12.97844,77.60486,26.99,4.139,0
347,1790310943,6.41,12.97846,77.60489,26.61,4.14,0
348,1790310944,7.18,12.97848,77.60492,26.48,4.138,0
349,1790310945,7.55,12.9785,77.60495,26.59,4.141,0
350,1790310946,7.18,12.97852,77.60498,26.48,4.144,0
351,1790310947,7.78,12.97854,77.60501,26.9,4.142,0
352,1790310948,8.28,12.97856,77.60504,26.75,4.138,0
353,1790310949,8.25,12.97858,77.60507,27.01,4.137,0
354,1790310950,8.79,12.9786,77.6051,26.96,4.142,0
355,1790310951,8.72,12.97862,77.60513,27.01,4.138,0
356,1790310952,9.0,12.97864,77.60516,26.67,4.143,0
357,1790310953,9.27,12.97866,77.60519,26.98,4.137,0
358,1790310954,9.13,12.97868,77.60522,26.78,4.137,0
359,1790310955,9.59,12.9787,77.60525,26.8,4.141,0
360,1790310955,9.59,12.9787,77.60525,26.9,4.14,0
361,1790310956,9.91,12.97872,77.60528,27.01,4.141,0
362,1790310957,10.3,12.97874,77.60531,26.77,4.137,0
363,1790310958,10.83,12.97876,77.60534,26.92,4.142,0
364,1790310959,11.17,12.97878,77.60537,26.83,4.137,0
365,1790310960,11.13,12.9788,77.6054,26.54,4.138,0
366,1790310961,11.41,12.97882,77.60543,26.65,4.136,0
367,1790310962,11.67,12.97884,77.60546,26.79,4.139,0
368,1790310963,11.68,12.97886,77.60549,26.94,4.135,0
369,1790310964,12.65,12.97888,77.60552,26.45,4.135,0
370,1790310965,12.85,12.9789,77.60555,26.87,4.14,0
371,1790310966,12.99,12.97892,77.60558,26.72,4.137,0
372,1790310967,12.81,12.97894,77.60561,26.58,4.141,0
373,1790310968,13.74,12.97896,77.60564,26.89,4.141,0
374,1790310969,14.26,12.97898,77.60567,26.73,4.138,0
375,1790310970,14.17,12.979,77.6057,26.49,4.14,0
376,1790310971,14.11,12.97902,77.60573,26.42,4.141,0
377,1790310972,14.57,12.97904,77.60576,26.82,4.139,0
378,1790310973,15.31,12.97906,77.60579,26.86,4.143,0
379,1790310974,15.63,12.97908,77.60582,26.72,4.139,0
380,1790310975,15.15,12.9791,77.60585,26.91,4.141,0
381,1790310976,15.71,12.97912,77.60588,26.45,4.139,0
382,1790310977,16.06,12.97914,77.60591,26.54,4.132,0
383,1790310978,16.94,12.97916,77.60594,26.68,4.136,0
384,1790310979,16.53,12.97918,77.60597,26.71,4.132,0
385,1790310980,17.46,12.9792,77.606,26.46,4.136,0
386,1790310981,17.38,12.97922,77.60603,26.54,4.138,0
387,1790310982,18.14,12.97924,77.60606,26.66,4.132,0
388,1790310983,17.74,12.97926,77.60609,26.41,4.137,0
389,1790310984,18.69,12.97928,77.60612,26.47,4.138,0
390,1790310985,18.84,12.9793,77.60615,26.58,4.134,0
391,1790310986,19.44,12.97932,77.60618,26.38,4.135,0
392,1790310987,19.3,12.97934,77.60621,26.71,4.136,0
393,1790310988,20.03,12.97936,77.60624,26.33,4.134,0
394,1790310989,20.3,12.97938,77.60627,26.3,4.133,0
395,1790310990,20.25,12.9794,77.6063,26.37,4.133,0
396,1790310991,20.71,12.97942,77.60633,26.29,4.137,0
397,1790310992,20.91,12.97944,77.60636,26.51,4.137,0
398,1790310993,21.58,12.97946,77.60639,26.78,4.138,0
399,1790310994,21.49,12.97948,77.60642,26.8,4.129,0
400,1790310995,21.79,12.9795,77.60645,26.82,4.138,0
401,1790310996,22.71,12.97952,77.60648,26.61,4.136,0
402,1790310997,22.9,12.97954,77.60651,26.34,4.129,0
403,1790310998,23.16,12.97956,77.60654,26.74,4.135,0
404,1790310999,24.03,12.97958,77.60657,26.81,4.13,0
405,1790311000,24.4,12.9796,77.6066,26.41,4.134,0
406,1790311001,24.44,12.97962,77.60663,26.49,4.131,0
407,1790311002,24.62,12.97964,77.60666,26.45,4.13,0
408,1790311003,25.16,12.97966,77.60669,26.31,4.133,0
409,1790311004,25.92,12.97968,77.60672,26.45,4.135,0
410,1790311005,26.2,12.9797,77.60675,26.73,4.13,0
411,1790311006,25.9,12.97972,77.60678,26.35,4.133,0
412,1790311007,26.89,12.97974,77.60681,26.62,4.129,0
413,1790311008,27.27,12.97976,77.60684,26.53,4.135,0
414,1790311009,27.64,12.97978,77.60687,26.49,4.136,0
415,1790311010,27.81,12.9798,77.6069,26.6,4.133,0
416,1790311011,28.49,12.97982,77.60693,26.6,4.128,0
417,1790311012,28.08,12.97984,77.60696,26.48,4.129,0
418,1790311013,28.67,12.97986,77.60699,26.24,4.131,0
419,1790311014,29.09,12.97988,77.60702,26.47,4.127,0
420,1790311015,30.0,12.9799,77.60705,26.25,4.135,0
421,1790311016,30.41,12.97992,77.60708,26.57,4.131,0
422,1790311017,30.4,12.97994,77.60711,26.52,4.134,0
423,1790311018,31.24,12.97996,77.60714,26.46,4.133,0
424,1790311019,31.38,12.97998,77.60717,26.38,4.13,0
425,1790311020,31.27,12.98,77.6072,26.22,4.126,0
426,1790311021,32.42,12.98002,77.60723,26.39,4.132,0
427,1790311022,32.42,12.98004,77.60726,26.28,4.127,0
428,1790311023,32.76,12.98006,77.60729,26.43,4.13,0
429,1790311024,32.88,12.98008,77.60732,26.39,4.127,0
430,1790311025,33.53,12.9801,77.60735,26.37,4.13,0
431,1790311026,34.31,12.98012,77.60738,26.55,4.125,0
432,1790311027,34.02,12.98014,77.60741,26.57,4.127,0
433,1790311028,35.06,12.98016,77.60744,26.54,4.133,0
434,1790311029,35.62,12.98018,77.60747,26.35,4.129,0
435,1790311030,35.3,12.9802,77.6075,26.36,4.133,0
436,1790311031,36.27,12.98022,77.60753,26.38,4.129,0
437,1790311032,36.92,12.98024,77.60756,26.33,4.127,0
438,1790311033,37.19,12.98026,77.60759,26.63,4.13,0
439,1790311034,37.65,12.98028,77.60762,26.57,4.13,0
440,1790311035,37.76,12.9803,77.60765,26.52,4.127,0
441,1790311036,38.01,12.98032,77.60768,26.35,4.124,0
442,1790311037,38.29,12.98034,77.60771,26.69,4.127,0
443,1790311038,38.73,12.98036,77.60774,26.2,4.123,0
444,1790311039,39.76,12.98038,77.60777,26.17,4.13,0
