timestamp_ms,altitude_m,velocity_mps,accel_z_g,gyro_x_dps,gyro_y_dps,temp_c,pressure_hpa,battery_v,current_ma,status_flags
12000,1155.5,29.4,0.7,-3.4,1.6,17.2,889.6,3.89,407.0,ASCENT_POWERED
12500,1173.6,24.6,0.44,2.0,1.5,16.6,887.7,3.88,405.0,ASCENT_POWERED
13000,1188.4,19.8,0.47,-3.3,-1.5,16.0,886.1,3.87,401.0,ASCENT_POWERED
13500,1200.0,14.9,0.41,0.2,2.3,15.7,884.9,3.86,415.0,ASCENT_POWERED
14000,1208.3,9.9,0.12,-2.4,0.4,15.2,884.0,3.84,429.0,ASCENT_POWERED
14500,1213.3,5.0,0.07,-2.5,0.5,14.7,883.4,3.83,433.0,ASCENT_POWERED
15000,1215.0,0.0,-0.07,3.6,1.5,14.1,883.2,3.82,435.0,ASCENT_POWERED
15500,1214.6,-2.0,-0.93,-3.3,8.8,14.2,883.2,3.74,132.0,DESCENT_FREEFALL
16000,1213.3,-3.9,-0.91,-7.8,8.2,14.2,883.4,3.73,131.0,DESCENT_FREEFALL
16500,1211.1,-5.9,-0.97,10.7,5.1,14.2,883.6,3.76,139.0,DESCENT_FREEFALL
17000,1208.1,-7.8,-0.97,10.3,4.4,14.3,884.0,3.76,138.0,DESCENT_FREEFALL
17500,1204.3,-9.8,-0.98,3.7,0.9,14.3,884.4,3.74,142.0,DESCENT_FREEFALL
18000,1199.6,-11.8,-0.93,-3.5,-7.1,14.4,884.9,3.73,142.0,DESCENT_FREEFALL
18500,1194.0,-13.7,-0.99,2.9,-0.8,14.5,885.5,3.74,138.0,DESCENT_FREEFALL
19000,1187.6,-15.7,-0.93,-1.9,-0.7,14.5,886.2,3.75,133.0,DESCENT_FREEFALL
19500,1180.3,-17.6,-0.96,2.0,8.5,14.6,887.0,3.74,145.0,DESCENT_FREEFALL
20000,1172.1,-19.6,-0.95,-8.2,9.5,14.7,887.9,3.73,141.0,DESCENT_FREEFALL
20500,1163.1,-21.6,-0.99,7.8,-5.8,14.8,888.9,3.73,131.0,DESCENT_FREEFALL
21000,1153.3,-23.5,-0.9,7.2,7.0,14.9,890.0,3.76,143.0,DESCENT_FREEFALL
21500,1142.5,-25.5,-0.99,0.3,-9.5,15.1,891.2,3.75,137.0,DESCENT_FREEFALL
22000,1131.0,-27.4,-0.94,8.9,8.4,15.2,892.4,3.75,135.0,DESCENT_FREEFALL
22500,1118.5,-29.4,-0.95,5.1,3.4,15.4,893.8,3.76,134.0,DESCENT_FREEFALL
23000,1105.2,-31.4,-0.97,10.3,-7.7,15.5,895.3,3.75,130.0,DESCENT_FREEFALL
23500,1091.1,-33.3,-0.95,-9.4,-9.4,15.7,896.8,3.75,146.0,DESCENT_FREEFALL
24000,1076.1,-35.3,-0.98,-1.1,-9.7,15.9,898.5,3.73,143.0,DESCENT_FREEFALL
24500,1060.2,-37.2,-0.98,-9.0,-1.1,16.1,900.2,3.76,149.0,DESCENT_FREEFALL
25000,1043.5,-38.0,-0.96,3.6,1.5,16.3,902.1,3.75,141.0,DESCENT_FREEFALL
25500,1025.9,-38.0,-0.91,-0.4,-6.5,16.5,904.0,3.76,143.0,DESCENT_FREEFALL
26000,1007.5,-38.0,-0.91,-2.0,-1.6,16.7,906.0,3.75,132.0,DESCENT_FREEFALL
26500,988.2,-38.0,-0.91,-1.2,8.2,16.9,908.1,3.75,140.0,DESCENT_FREEFALL
27000,968.0,-38.0,-1.0,-0.9,1.7,17.2,910.4,3.76,138.0,DESCENT_FREEFALL
27500,947.0,-38.0,-0.94,4.3,4.5,17.4,912.7,3.77,142.0,DESCENT_FREEFALL
28000,925.2,-38.0,-0.94,4.6,-5.2,17.7,915.1,3.75,150.0,DESCENT_FREEFALL
28500,902.4,-38.0,-0.98,9.3,6.8,18.0,917.6,3.76,145.0,DESCENT_FREEFALL
29000,878.9,-38.0,-0.96,2.5,-0.4,18.2,920.2,3.75,131.0,DESCENT_FREEFALL
29500,854.4,-38.0,-0.91,-6.8,-5.3,18.5,922.9,3.74,147.0,DESCENT_FREEFALL
30000,829.1,-38.0,-0.95,4.5,-8.2,18.8,925.6,3.76,135.0,DESCENT_FREEFALL
30500,803.0,-38.0,-0.93,9.4,2.9,19.1,928.5,3.75,134.0,DESCENT_FREEFALL
31000,776.0,-38.0,-0.95,-5.1,-0.4,19.5,931.5,3.76,136.0,DESCENT_FREEFALL
31500,748.1,-38.0,-0.97,7.9,1.4,19.8,934.6,3.75,138.0,DESCENT_FREEFALL
32000,719.4,-38.0,-0.92,0.2,-4.1,20.1,937.7,3.76,134.0,DESCENT_FREEFALL
32500,689.8,-38.0,-0.91,-8.0,-2.1,20.5,941.0,3.73,137.0,DESCENT_FREEFALL
33000,659.3,-38.0,-0.91,10.0,-2.8,20.9,944.3,3.75,135.0,DESCENT_FREEFALL
33500,628.0,-38.0,-0.94,1.0,8.1,21.2,947.8,3.75,135.0,DESCENT_FREEFALL
34000,595.9,-38.0,-0.97,11.7,5.7,21.6,951.3,3.74,133.0,DESCENT_FREEFALL
34500,580.0,-38.0,-0.94,-0.4,1.9,21.8,953.1,3.77,147.0,DESCENT_FREEFALL
35000,561.0,-40.9,-0.97,23.3,19.0,26.3,1016.9,2.39,670.0,ANOMALY_EPS_VOLTAGE_SAG_BROWNOUT
35500,542.0,-40.9,-1.08,-10.0,-19.6,26.6,1019.0,2.37,700.0,ANOMALY_EPS_VOLTAGE_SAG_BROWNOUT
36000,523.0,-40.3,-1.07,21.6,-24.5,26.8,1021.1,2.37,701.0,ANOMALY_EPS_VOLTAGE_SAG_BROWNOUT
36500,504.0,-41.0,-0.94,26.5,-28.0,27.0,1023.2,2.37,700.0,ANOMALY_EPS_VOLTAGE_SAG_BROWNOUT
37000,485.0,-40.6,-0.94,-25.6,13.2,27.3,1025.3,2.31,663.0,ANOMALY_EPS_VOLTAGE_SAG_BROWNOUT
37500,466.0,-41.3,-1.01,-32.2,11.3,27.5,1027.4,2.34,688.0,ANOMALY_EPS_VOLTAGE_SAG_BROWNOUT
38000,447.0,-40.3,-1.08,18.5,5.5,27.7,1029.5,2.31,678.0,ANOMALY_EPS_VOLTAGE_SAG_BROWNOUT
38500,428.0,-41.9,-0.99,9.3,-27.0,27.9,1031.6,2.24,666.0,ANOMALY_EPS_VOLTAGE_SAG_BROWNOUT
39000,409.0,-41.4,-1.02,20.0,3.4,28.2,1033.7,2.26,671.0,ANOMALY_EPS_VOLTAGE_SAG_BROWNOUT
39500,390.0,-41.5,-1.04,-18.0,12.4,28.4,1035.8,2.17,672.0,ANOMALY_EPS_VOLTAGE_SAG_BROWNOUT
40000,371.0,-41.8,-0.93,2.2,13.9,28.6,1037.8,2.21,655.0,ANOMALY_EPS_VOLTAGE_SAG_BROWNOUT
40500,352.0,-41.6,-1.05,-28.9,2.9,28.9,1039.9,2.19,708.0,ANOMALY_EPS_VOLTAGE_SAG_BROWNOUT
41000,333.0,-41.5,-0.92,-10.7,18.7,29.1,1042.0,2.1,698.0,ANOMALY_EPS_VOLTAGE_SAG_BROWNOUT
41500,320.0,-41.4,-1.1,-24.3,-16.8,29.2,1043.5,2.12,669.0,ANOMALY_EPS_VOLTAGE_SAG_BROWNOUT
42000,320.0,-41.9,-1.02,3.2,4.8,29.2,1043.5,2.08,678.0,ANOMALY_EPS_VOLTAGE_SAG_BROWNOUT
42500,297.9,-44.5,-0.97,12.4,-40.0,28.6,1016.7,2.09,91.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
43000,275.8,-43.5,-1.07,42.4,24.2,28.7,1017.6,2.09,94.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
43500,253.7,-44.8,-0.92,26.9,-7.5,28.8,1018.5,2.08,96.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
44000,231.6,-44.8,-0.94,-18.0,32.8,28.9,1019.3,2.07,98.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
44500,209.5,-43.7,-0.98,-11.7,29.0,29.0,1020.2,2.07,99.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
45000,187.4,-44.4,-1.05,-36.9,34.9,29.1,1021.1,2.06,90.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
45500,165.3,-43.9,-0.96,-20.5,-24.8,29.2,1022.0,2.05,99.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
46000,143.2,-43.9,-0.94,0.4,-32.4,29.4,1022.9,2.05,91.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
46500,121.1,-43.9,-1.01,33.9,36.4,29.5,1023.8,2.04,90.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
47000,99.0,-44.6,-1.07,14.0,1.6,29.6,1024.6,2.03,96.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
47500,76.9,-43.8,-1.01,-19.2,10.4,29.7,1025.5,2.03,91.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
48000,54.8,-43.5,-0.93,12.4,-39.6,29.8,1026.4,2.02,92.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
48500,32.7,-44.4,-0.92,24.4,18.4,29.9,1027.3,2.02,90.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
49000,10.6,-44.7,-0.94,1.0,19.2,30.0,1028.2,2.01,96.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
49500,0.0,-44.1,-0.93,-8.0,-6.5,30.1,1028.6,2.0,94.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
50000,0.0,-44.9,-0.96,5.5,2.0,30.1,1028.6,2.0,94.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
50500,0.0,-43.7,-0.95,28.2,4.5,30.1,1028.6,1.99,96.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
51000,0.0,-44.8,-1.07,-34.9,0.0,30.1,1028.6,1.98,91.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
51500,0.0,-43.9,-0.96,-46.5,2.1,30.1,1028.6,1.98,94.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
52000,0.0,-43.5,-0.94,47.0,-30.4,30.1,1028.6,1.97,95.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
52500,0.0,-44.1,-1.0,3.5,-10.0,30.1,1028.6,1.96,95.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
53000,0.0,-43.5,-0.99,11.7,32.7,30.1,1028.6,1.96,97.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
53500,0.0,-44.4,-1.07,24.1,5.7,30.1,1028.6,1.95,97.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
54000,0.0,-44.2,-0.94,6.0,31.0,30.1,1028.6,1.94,92.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
54500,0.0,-44.7,-0.97,43.7,-42.7,30.1,1028.6,1.94,98.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
55000,0.0,-43.8,-0.96,-11.0,-11.8,30.1,1028.6,1.93,91.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
55500,0.0,-43.6,-0.93,13.3,11.0,30.1,1028.6,1.92,93.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
56000,0.0,-43.7,-0.94,-38.8,-7.1,30.1,1028.6,1.92,91.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
56500,0.0,-44.3,-1.05,-42.8,43.3,30.1,1028.6,1.91,96.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
57000,0.0,-43.9,-0.98,43.5,32.0,30.1,1028.6,1.9,93.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
57500,0.0,-44.3,-1.01,-14.0,-10.0,30.1,1028.6,1.9,95.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
58000,0.0,-44.3,-1.0,6.1,42.4,30.1,1028.6,1.89,97.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
58500,0.0,-44.1,-0.96,-43.7,-9.8,30.1,1028.6,1.89,98.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
59000,0.0,-43.9,-0.99,-22.0,17.3,30.1,1028.6,1.88,94.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
59500,0.0,-43.7,-1.01,7.1,44.6,30.1,1028.6,1.87,95.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
60000,0.0,-44.8,-1.04,11.7,-36.4,30.1,1028.6,1.87,96.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
60500,0.0,-43.6,-1.05,-36.5,-21.5,30.1,1028.6,1.86,96.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
61000,0.0,-44.4,-0.98,-18.4,-35.9,30.1,1028.6,1.85,98.0,RECOVERY_DEPLOY_FAILED_TERMINAL_DESCENT
61500,0.0,0.0,-22.4,0.0,0.0,29.8,1013.25,0.0,0.0,GROUND_IMPACT_TERMINATED
62000,0.0,0.0,-22.4,0.0,0.0,29.8,1013.25,0.0,0.0,GROUND_IMPACT_TERMINATED
